elapsed_ms,cpu_pct
1100,37
2582,49
4028,49
5479,43
6939,54
8397,39
9862,56
11305,51
12783,40
14230,38
15690,30
17152,48
18612,34
20056,40
21507,59
22969,38
24437,29
25900,33
27360,42
28819,40
30279,42
31731,29
33202,23
34662,37
36123,37
37581,54
39024,44
40489,45
41937,24
43405,36
44855,44
46321,46
47784,42
49243,35
50713,48
52164,29
53617,46
55072,43
56520,25
57987,31
59455,49
60938,43
62394,39
63870,46
65331,57
66785,52
68264,70
69721,71
71189,44
72660,54
74117,23
75576,31
77038,53
78513,56
79974,52
