elapsed_ms,cpu_pct
1119,37
2626,51
4096,32
5553,80
7019,77
8498,76
9968,65
11429,63
12895,62
14358,57
15810,51
17273,51
18736,36
20209,52
21658,34
23123,33
24593,42
26050,31
27514,42
28963,32
30412,52
31861,30
33305,31
34751,38
36235,50
37695,42
39149,43
40601,47
42058,26
43517,20
44979,16
46426,49
47896,63
49356,48
50825,45
52284,35
53743,21
55195,43
56633,32
58080,58
59543,51
61001,34
62457,46
63901,26
65347,58
66809,60
68268,63
69741,60
71194,72
72652,43
74103,45
75561,51
77024,48
78460,20
79914,28
81377,80
82840,59
