elapsed_ms,cpu_pct
1095,29
2580,51
4040,43
5500,57
6967,45
8419,34
9884,48
11343,40
12803,50
14260,55
15750,36
17211,55
18664,46
20132,43
21580,37
23041,26
24500,25
25959,41
27420,49
28881,69
30348,38
31815,33
33271,14
34736,30
36178,27
37619,54
39083,42
40549,28
42018,19
43495,42
44957,37
46410,29
47868,30
49338,30
50795,24
52255,38
53721,31
55173,46
56621,30
58082,17
59529,54
60988,53
62448,30
63910,33
65368,36
66830,62
68316,37
69777,63
71233,48
72693,51
74153,46
75603,39
77090,50
78551,42
80017,33
