elapsed_ms,cpu_pct
1110,40
2600,51
4177,94
5758,100
7234,34
8679,32
10118,37
11559,33
13034,42
14493,51
15940,29
17396,32
18859,39
20320,50
21778,44
23235,43
24685,40
26144,32
27604,37
29051,46
30502,35
31959,49
33418,64
34879,54
36341,40
37785,41
39236,25
40698,34
42185,43
43645,31
45106,40
46564,23
48025,39
49487,45
50947,48
52406,44
53877,37
55342,16
56806,31
58251,24
59707,55
61170,51
62626,24
64088,45
65536,58
66993,70
68455,59
69925,45
71384,39
72844,51
74296,57
75761,56
77219,21
78707,56
80168,40
